Location,data_storage_needed,Time_Critical,Class
Only_to_Cloud,39694,Yes,Cloud
Near_to_Fog,39185,Yes,Fog
Near_to_Fog,91048,No,Cloud
Only_to_Cloud,76132,No,Cloud
Near_to_Fog,30645,Yes,Fog
Near_to_Fog,26742,No,Cloud
Near_to_Fog,57144,No,Cloud
Only_to_Cloud,7299,No,Cloud
Only_to_Cloud,70407,No,Cloud
Near_to_Fog,4164,No,Cloud
Only_to_Cloud,67937,Yes,Cloud
Near_to_Fog,15536,No,Cloud
Near_to_Fog,58188,No,Cloud
Near_to_Fog,63690,Yes,Fog
Only_to_Cloud,8978,Yes,Cloud
Only_to_Cloud,98100,No,Cloud
Near_to_Fog,40469,No,Cloud
Only_to_Cloud,73517,Yes,Cloud
Near_to_Fog,47618,No,Cloud
Only_to_Cloud,2753,No,Cloud
Near_to_Fog,92190,Yes,Fog
Near_to_Fog,70862,No,Cloud
Only_to_Cloud,16322,Yes,Cloud
Near_to_Fog,2233,Yes,Fog
Near_to_Fog,20968,No,Cloud
Only_to_Cloud,48190,Yes,Cloud
Near_to_Fog,3612,Yes,Fog
Near_to_Fog,44480,Yes,Fog
Near_to_Fog,73953,Yes,Fog
Near_to_Fog,88529,No,Cloud
Near_to_Fog,17886,Yes,Fog
Only_to_Cloud,46396,Yes,Cloud
Only_to_Cloud,43299,Yes,Cloud
Only_to_Cloud,2518,Yes,Cloud
Near_to_Fog,92628,No,Cloud
Only_to_Cloud,81504,Yes,Cloud
Only_to_Cloud,33330,No,Cloud
Only_to_Cloud,65058,Yes,Cloud
Near_to_Fog,36436,No,Cloud
Only_to_Cloud,6699,No,Cloud
Only_to_Cloud,62443,Yes,Cloud
Near_to_Fog,32033,Yes,Fog
Near_to_Fog,17841,Yes,Fog
Only_to_Cloud,11339,No,Cloud
Only_to_Cloud,84542,No,Cloud
Near_to_Fog,88291,Yes,Fog
Only_to_Cloud,747,Yes,Cloud
Only_to_Cloud,82325,No,Cloud
Near_to_Fog,67171,No,Cloud
Only_to_Cloud,86655,No,Cloud
Near_to_Fog,164,No,Cloud
