device_type,location,data_size,network_bandwidth,Time_Critical_App,Destination
home sensors,fog_range,low,low,Yes,FOG
wearables,fog_range,medium,low,Yes,FOG
smartphone,fog_range,high,high,Yes,FOG
smartphone,cloud_range,high,high,No,CLOUD
weather sensors,cloud_range,low,low,No,CLOUD
home sensors,cloud_range,low,low,No,CLOUD
wearables,fog_range,medium,low,Yes,FOG
pc,fog_range,high,high,Yes,FOG
wearables,fog_range,medium,low,Yes,FOG
Actuators,fog_range,low,low,No,FOG
Ipcam,cloud_range,very high,high,No,CLOUD
wearables,cloud_range,medium,low,Yes,CLOUD
Ipcam,cloud_range,very high,high,No,CLOUD
weather sensors,fog_range,low,low,Yes,FOG
smartphone,fog_range,high,high,No,CLOUD
Ipcam,cloud_range,very high,high,Yes,CLOUD
weather sensors,fog_range,low,low,No,FOG
printer,fog_range,low,low,No,FOG
Environment Sensors,fog_range,low,low,Yes,FOG
Environment Sensors,cloud_range,low,low,Yes,CLOUD
Environment Sensors,cloud_range,low,low,No,CLOUD
pc,cloud_range,high,high,No,CLOUD
Environment Sensors,fog_range,low,low,No,FOG
smartphone,fog_range,high,high,No,CLOUD
smartphone,fog_range,high,high,Yes,FOG
smartphone,fog_range,high,high,Yes,FOG
Actuators,cloud_range,low,low,Yes,CLOUD
printer,fog_range,low,low,Yes,FOG
printer,fog_range,low,low,Yes,FOG
wearables,cloud_range,medium,low,Yes,CLOUD
wearables,fog_range,medium,low,Yes,FOG
home sensors,cloud_range,low,low,No,CLOUD
Environment Sensors,cloud_range,low,low,Yes,CLOUD
Environment Sensors,fog_range,low,low,No,FOG
smartphone,fog_range,high,high,No,CLOUD
Ipcam,cloud_range,very high,high,No,CLOUD
weather sensors,cloud_range,low,low,No,CLOUD
weather sensors,fog_range,low,low,No,FOG
printer,cloud_range,low,low,No,CLOUD
Actuators,fog_range,low,low,No,FOG
Ipcam,fog_range,very high,high,No,CLOUD
Environment Sensors,fog_range,low,low,Yes,FOG
Ipcam,cloud_range,very high,high,No,CLOUD
wearables,cloud_range,medium,low,Yes,CLOUD
weather sensors,cloud_range,low,low,No,CLOUD
Ipcam,cloud_range,very high,high,No,CLOUD
wearables,fog_range,medium,low,Yes,FOG
printer,cloud_range,low,low,No,CLOUD
